,Tweet
0,"""Charley Pride, country music star, dies from complications of Covid-19."" by BY BRYAN PIETSCH via NYT https://t.co/AXvsD0ER6j"
1,"RT @AP: BREAKING: Charley Pride, the son of sharecroppers in Mississippi who became one of country music’s biggest stars and the first Blac…"
2,My mom introduced me to this Mississippi legend’s music at a young age. “Kiss an Angel Good Morning” was what I wok… https://t.co/uTto9wEznL
3,RT @KaylayShorter: You ever notice how some people won’t allow themselves to enjoy things for fear of being judged? Let yourself enjoy thin…
4,"@CashmerTouch No way , none of my business i'm usually too busy with my friends Music Gear"
5,"RT @SABRbbcards: RIP, country music superstar and ballplayer Charley Pride, 1934-2020. (Doug McWilliams postcards and Bob Lemke customs sho…"
6,"🎬NEW VID

Brooklyn's rapper @YoungMAMusic has returned with the music video for his @MikeZombie's produced single ""… https://t.co/WSJJIZYdFj"
7,RT @stfuclitoris: we could sit in the car listening to music &amp; talk for hours &amp; i’ll be happy.
8,RT @cobiMB: Got Bored: https://t.co/Ddww4ZCqLn https://t.co/0x7zNFwHgp
9,cant find music that fits how i’m feeling rn😑
10,RT @IntroSpecktive: Some fucking cop is driving through my apartment complex blasting Christmas music for no reason thinking it’s cute and…
11,Inb4 I'm in the Zain doc with 10 hour meditation music edited in while I talk about how I told Zain to camp Puff 😎
12,"RT @_zaracorrie: ..sitting doing your makeup, drink beside you, texting the girls what stage they’re at and what time you’s are meeting, pr…"
13,"RT @RollingStone: Watch Dave Grohl and Greg Kurstin Cover Beastie Boys’ ""Sabotage"" for Night One of their 'Hanukkah Sessions' https://t.co/…"
14,"RT @statswizkid: |🇬🇧 UK iTUNES TOP SONGS:

#720 Wizkid - Piece of Me (feat. @ellamai) [NEW]

#1019 Wizkid - Longtime (feat. @Skepta) [NEW]…"
15,"RT @rachelchinourir: to all my followers, I need your help 
Discover my music: a thread.

I did this on tiktok and it really got me so much…"
16,RT @Malaamusic: ONLY ID MUSIC !!!! @djsnake #secretroom https://t.co/LPBHx397U3
17,@DIORGOWON they do have good music but yeah some songs are straight up skips :3
18,"RT @cnnbrk: Charley Pride, the first Black member of the Country Music Hall of Fame, has died at 86 due to Covid complications, his represe…"
19,RT @filesmoonbyul: 201212 — The Fact Music Awards https://t.co/vRPly9Prfg
20,"RT @RollingStone: Charley Pride, the pioneering black country singer known for hits like “Kiss an Angel Good Mornin',"" has died from Covid-…"
21,"RT @jinnieslamp: [#JinUpdate] Kmedia reports about BTS Jin’s solo song ""Moon"" from Map of the Soul: 7 being recognized by Rolling Stone as…"
22,"RT @pourmysongsout: @dannykeanmusic When I heard the holiday music, I was hoping to hear you cover Charles Brown, I wasn't disappointed!"
23,RT @Sin_tel: exploring my choir generator #generative #music #microtonal https://t.co/k5oawqAyOG
24,RT @PasteMagazine: Country pioneer Charley Pride dead of COVID-19 complications at 86: https://t.co/UUSvAwsaDw https://t.co/SNOGE84JSo
25,How are people putting copy in the music libraries 😭
26,"RT @_LatinoGang: Snoop Dog in Bad Bunny’s new music video for ‘Hoy Cobre’ 
 https://t.co/ECuTSAvgGK"
27,@ohfaun All Sanova music tbh https://t.co/Da8TzgKB2e
28,RT @lowkeysul: good taste in music is attractive.
29,RT @vortexgun: based on this image what do you think my music will sound like https://t.co/6SNYDvaJEC
30,"RT @CharleyCrockett: Rest In Peace to Charley Pride, one of the all-time greatest voices in Country Music. Thank you for being you. 🕊#legen…"
31,"""Andy Miranda - Funny Soft Rock Song

""My imaginary friends treat me better than you...""

https://t.co/EigYuAbViG… https://t.co/mAWRGIur9b"
32,"@HarvestSound and @artistshouseint chatted in this podcast episode about all things Nashville, music, community, in… https://t.co/n3efdp53rH"
33,"BREAKING: Actress @CarolSuttonAct dies of Covid-19 complications.

Country music legend @Charleypride20 has died of… https://t.co/aiaRHrkC3Y"
34,"@king_wqle https://t.co/I4bz2iJ9cL

I have good music here u can listen sha 
😏"
35,"RT @QuizOfRassilon: This Sunday we’re celebrating the music of #DoctorWho with not one - but two rhythmic rounds: 

First, “REVERSE THE POL…"
36,"RT @BTSChartDailyx: Congratulations to @BTS_twt for winning 4 awardas at The Fact Music Awards 2020!

🏆 Year's Artist
🏆 Worldwide Icon
🏆 Li…"
37,"RT @nlbmprez: Absolutely heartbroken by the news of the passing of former Negro Leaguer &amp; Country Music legend, Charley Pride! This is Char…"
39,RT @JayDeMarcus: This pandemic has taken another icon away from us. To say Charlie Pride was a legend would be an understatement. He was a…
40,"RT @BTStranslation_: Q. How is Yoongi doing?

NJ: Do you know simsim (bored)? He can't even make music as his arm hurts
SJ: He said he's no…"
41,"RT @TREASURE_stats: Mass voting NOW!!!! Vote for TREASURE on Rookie of the Year at the Soul Music Awards!

@treasuremembers"
42,RT @MEMORIA0613: [ENG SUB] ‘The Fact Music Awards’ Daesang speech 🏆 @BTS_twt https://t.co/ABOMDqBMlK
43,#peaceful President #TrumpSupporters march at #FreedomPlaza in #washington #news #CNN #FoxNews #people #rally… https://t.co/ryF1xRaPDv
44,"RT @BTStranslation_: BTS ON RED CARPET OF THE FACT MUSIC AWARDS 2020

@BTS_twt https://t.co/uZlC1PfVsP"
45,"RT @BPGlobalNews: [INFO] - 201213
10 weeks after release, @BLACKPINK - 'THE ALBUM' jumps 55 spots to #1 on the Nepal🇳🇵 Apple Music Albums c…"
46,@azsweetheart013 @rachel_berc @nilslofgren @springsteen @nbcsnl Looking forward to see the band and hearing the music 🎶 🎸
47,"RT @DesmondChild: TONIGHT’S #MICHAELBOLTON NIGHT! I’m joining @mbsings live at 7pm EST to benefit #ChordsOfHope, a music therapy program th…"
49,@LehmannBro Uh Uh big dicks strobe lights and loud music 👍
50,RT @xaneiys: Nah why Travis always be listening to music on mute😭 https://t.co/d1qprtk7YS
51,RT @BrandonPresley: Mississippi has lost a native son and country music lost a legend with the death of Charley Pride due to COVID-19 compl…
52,head empty except for the wii music
53,RT @jeremykohler: We are at the glass of wine and listen to street music outside a candle store in Maplewood stage of the pandemic. https:/…
54,"RT @reginalddhunter: This man was 1of 3 black members of The Grand Ole Opry in Nashville, Tennessee. He going up and down the country perfo…"
55,RT @taylorswift13: I have no idea what will come next. I have no idea about a lot of things these days and so I’ve clung to the one thing t…
56,#FourthQuarterForever OUT NOW ♾ Probably the hardest body of music out right now... that’s just how I feel.
57,"RT @btschartdata: 'Life Goes On' receives 5th music show win on this week's MBC Music Core! 🏆

https://t.co/GmbOaw9vpR"
58,"@RichieBuz1 jcole don’t have nearly as much hits as wale wale was on quite a run, Cole make good music but you know… https://t.co/SfOiJJw9rQ"
59,"RT @ABC: BREAKING: Charley Pride, the pioneering Black country music legend who topped the charts with dozens of songs, has died at 86 due…"
60,Just last week a nigha by the name Of BMG HEAVY made the investment and immediately gotta fan before the 2nd verse… https://t.co/chnOb3Mn4y
