,Tweet_stemm
0,"['charley', 'pride', 'countri', 'music', 'star', 'die', 'complic', 'covid', 'bryan', 'pietsch']"
1,"['break', 'charley', 'pride', 'sharecropp', 'mississippi', 'becam', 'countri', 'music', 'biggest', 'star', 'first', 'blac']"
2,"['introduc', 'mississippi', 'legend', 'music', 'young', 'kiss', 'angel', 'good', 'morn', 'wok']"
3,"['ever', 'notic', 'peopl', 'allow', 'enjoy', 'thing', 'fear', 'judg', 'enjoy', 'thin']"
4,"['none', 'busi', 'usual', 'busi', 'friend', 'music', 'gear']"
5,"['countri', 'music', 'superstar', 'ballplay', 'charley', 'pride', 'doug', 'mcwilliam', 'postcard', 'lemk', 'custom', 'sho']"
6,"['new', 'brooklyn', 'rapper', 'return', 'music', 'video', 'produc', 'singl']"
7,"['could', 'listen', 'music', 'talk', 'hour', 'happi']"
8,['bore']
9,"['cant', 'find', 'music', 'fit', 'feel']"
10,"['fuck', 'drive', 'apart', 'complex', 'blast', 'christma', 'music', 'reason', 'think', 'cute']"
11,"['zain', 'hour', 'medit', 'music', 'edit', 'talk', 'told', 'zain', 'camp', 'puff']"
12,"['sit', 'makeup', 'drink', 'besid', 'text', 'girl', 'stage', 'time', 'meet']"
13,"['watch', 'dave', 'grohl', 'greg', 'kurstin', 'cover', 'beasti', 'boy', 'sabotag', 'night', 'hanukkah', 'session']"
14,"['itun', 'song', 'wizkid', 'piec', 'feat', 'wizkid', 'longtim', 'feat', 'new']"
15,"['follow', 'need', 'help', 'discov', 'music', 'thread', 'tiktok', 'realli', 'much']"
16,"['music', 'secretroom']"
17,"['good', 'music', 'yeah', 'song', 'straight', 'skip']"
18,"['charley', 'pride', 'first', 'black', 'member', 'countri', 'music', 'hall', 'fame', 'die', 'covid', 'complic', 'repres']"
19,"['fact', 'music', 'award']"
20,"['charley', 'pride', 'pioneer', 'black', 'countri', 'singer', 'known', 'hit', 'like', 'kiss', 'angel', 'good', 'mornin', 'die', 'covid']"
21,"['jinupd', 'kmedia', 'report', 'jin', 'solo', 'song', 'moon', 'soul', 'recogn', 'roll', 'stone']"
22,"['heard', 'holiday', 'music', 'hope', 'hear', 'cover', 'charl', 'brown', 'wasnt', 'disappoint']"
23,"['explor', 'choir', 'gener', 'gener', 'music', 'microton']"
24,"['countri', 'pioneer', 'charley', 'pride', 'dead', 'covid', 'complic']"
25,"['peopl', 'put', 'copi', 'music', 'librari']"
26,"['snoop', 'bunni', 'music', 'video', 'hoy', 'cobr']"
27,"['sanova', 'music']"
28,"['good', 'tast', 'music', 'attract']"
29,"['base', 'imag', 'think', 'music', 'sound', 'like']"
30,"['rest', 'peac', 'charley', 'pride', 'alltim', 'greatest', 'voic', 'countri', 'music', 'thank', 'dove', 'legen']"
31,"['andi', 'miranda', 'funni', 'soft', 'rock', 'song', 'imaginari', 'friend', 'treat', 'better']"
32,"['chat', 'podcast', 'episod', 'thing', 'nashvil', 'music', 'commun']"
33,"['break', 'actress', 'die', 'covid', 'complic', 'countri', 'music', 'legend', 'die']"
34,"['good', 'music', 'listen']"
35,"['sunday', 'celebr', 'music', 'doctorwho', 'rhythmic', 'round', 'first', 'revers', 'pol']"
